index,carat,cut,color,clarity,depth,table,price,x,y,z
66,0.28,Ideal,G,VVS2,61.4,56,553,4.19,4.22,2.58
127,0.91,Premium,H,SI1,61.4,56,2763,6.09,5.97,3.7
136,0.63,Premium,E,VVS1,60.9,60,2765,5.52,5.55,3.37
267,0.7,Premium,F,VS1,62.1,60,2792,5.71,5.65,3.53
324,1.04,Premium,G,I1,62.2,58,2801,6.46,6.41,4
344,0.71,Very Good,E,VS2,64,57,2804,5.66,5.68,3.63
392,0.32,Premium,I,SI1,62.8,58,554,4.39,4.34,2.74
464,0.7,Premium,E,VS2,59.3,60,2818,5.78,5.73,3.41
654,1.01,Ideal,I,I1,61.5,57,2844,6.45,6.46,3.97
792,0.7,Very Good,D,SI1,62.5,55,2862,5.67,5.72,3.56
889,0.7,Premium,F,VS1,59,59,2874,5.79,5.77,3.41
940,0.9,Fair,D,SI2,66.9,57,2885,6.02,5.9,3.99
1067,0.31,Premium,I,VS2,60.8,60,558,4.42,4.37,2.67
1137,0.71,Very Good,E,VS2,59.9,59,2921,5.77,5.81,3.47
1142,0.71,Very Good,E,VS2,63.7,58,2922,5.6,5.64,3.58
1174,0.8,Very Good,G,VS2,61.1,57,2929,6.01,6.07,3.69
1275,0.72,Ideal,H,VS1,62.3,55,2949,5.72,5.74,3.57
1360,0.9,Fair,J,VS1,65.4,60,2964,6.02,5.93,3.91
1416,0.9,Ideal,G,SI2,62.4,57,2968,6.16,6.13,3.84
1428,0.9,Very Good,H,SI2,63.1,60,2972,6.14,6.09,3.86
1437,0.57,Ideal,F,IF,61.8,54,2974,5.33,5.35,3.3
1495,0.75,Ideal,G,VS2,60.6,55,2991,5.91,5.93,3.59
1500,0.69,Very Good,F,VVS2,61.5,60,2993,5.64,5.67,3.48
1504,0.7,Ideal,F,VS1,62.4,55,2993,5.65,5.7,3.54
1527,0.73,Very Good,G,VS1,62.4,58.1,2999,5.71,5.75,3.58
1561,0.78,Ideal,G,SI1,60.6,57,3004,5.95,5.97,3.61
1654,0.78,Premium,D,SI1,60.4,57,3019,6.02,5.97,3.62
1764,1.14,Ideal,J,SI1,60.2,57,3045,6.81,6.71,4.07
1780,0.72,Premium,D,SI1,60.5,57,3048,5.89,5.85,3.55
1968,0.73,Ideal,G,SI1,61.7,57,3089,5.78,5.81,3.57
1975,1.2,Premium,G,I1,60.3,58,3091,6.82,6.77,4.1
2054,0.32,Premium,G,VS2,62.6,59,561,4.33,4.36,2.72
2176,0.81,Premium,D,SI1,60.7,58,3135,6.07,5.99,3.66
2247,1.02,Ideal,I,VS2,62.8,57,3148,6.45,6.39,4.03
2270,0.77,Ideal,G,VS2,61.7,55,3154,5.87,5.9,3.63
2338,0.74,Ideal,F,VS1,61.7,56,3170,5.83,5.78,3.58
2385,0.32,Premium,E,SI1,62.3,58,561,4.37,4.4,2.73
2386,0.4,Good,H,SI2,63.8,57,561,4.67,4.7,2.99
2403,0.7,Very Good,E,VS1,63.8,57,3177,5.61,5.65,3.59
2435,0.76,Ideal,G,VS2,61.5,55,3183,5.92,5.88,3.63
2468,0.71,Ideal,D,VS1,62.2,55,3192,5.71,5.74,3.56
2764,0.8,Ideal,E,SI2,60.9,57,3251,6,6.03,3.66
2885,1.01,Fair,I,SI1,65.5,58,3280,6.28,6.24,4.1
2907,0.8,Good,G,VS1,63.2,60.1,3283,5.77,5.85,3.67
2972,0.91,Very Good,J,VS2,62.6,55,3299,6.17,6.19,3.87
3047,0.27,Very Good,G,VVS1,62.5,56,566,4.14,4.16,2.59
3083,1.02,Premium,H,SI2,58.3,59,3313,6.61,6.57,3.84
3291,0.7,Premium,D,VS1,62.5,59,3365,5.69,5.64,3.54
3327,0.72,Very Good,D,VS1,64.1,57,3375,5.68,5.71,3.65
3359,0.91,Very Good,H,SI2,63.4,57,3382,6.1,6.18,3.89
3416,0.36,Premium,I,VS1,62,59,568,4.53,4.6,2.83
3425,0.7,Ideal,G,VS1,61.9,55,3384,5.67,5.71,3.52
3427,0.79,Ideal,E,SI1,62,57,3384,5.92,5.96,3.68
3558,0.79,Ideal,H,VVS2,62.4,56,3417,5.91,5.94,3.7
3561,1.01,Premium,H,SI1,59.2,58,3417,6.58,6.56,3.89
3602,0.91,Ideal,G,SI2,62.2,57,3425,6.18,6.24,3.86
3611,0.9,Good,F,SI1,64.3,57,3427,6.08,6.01,3.89
3670,1.03,Premium,F,I1,62.3,59,3444,6.42,6.46,4.01
3678,0.7,Good,F,VVS2,62.5,58,3445,5.68,5.75,3.57
3738,0.3,Ideal,F,VS2,62.3,58,569,4.26,4.23,2.64
3827,0.7,Ideal,D,SI1,61.6,57,3471,5.69,5.74,3.52
3852,0.91,Very Good,J,VS2,61.9,59,3478,6.11,6.16,3.8
3868,0.71,Premium,D,VS1,61.6,58,3479,5.78,5.72,3.54
3895,0.77,Very Good,D,VS2,61.2,59,3489,5.86,5.91,3.6
3902,0.9,Good,G,SI2,62.7,59,3489,6.04,6.12,3.81
4007,0.9,Very Good,F,SI2,61.1,54,3519,6.27,6.29,3.84
4057,0.36,Ideal,G,SI1,61.5,54,571,4.6,4.63,2.84
4107,0.78,Ideal,F,VS1,61.6,56,3537,5.9,5.92,3.64
4215,0.91,Very Good,H,VS2,63.1,56,3567,6.2,6.13,3.89
4227,0.9,Very Good,I,VS2,63.2,56,3570,6.15,6.09,3.87
4274,0.98,Fair,H,SI1,68.6,58,3583,6.18,6.04,4.19
4307,0.82,Very Good,D,SI1,61.3,56,3593,6.02,6.06,3.7
4337,0.9,Ideal,E,SI2,62,55,3599,6.23,6.15,3.84
4357,0.8,Very Good,F,VS1,63.8,55,3603,5.84,5.89,3.74
4457,1.01,Good,I,VS2,63.6,57,3620,6.3,6.21,3.98
4472,0.82,Ideal,E,SI1,61.8,58,3622,5.99,6.05,3.72
4480,0.81,Ideal,F,VS2,61.8,55,3624,5.96,5.92,3.67
4519,1,Fair,G,SI1,43,59,3634,6.32,6.27,3.97
4569,0.77,Ideal,F,VS1,61.2,56,3647,5.9,5.93,3.62
4592,1.11,Premium,D,I1,61.9,58,3655,6.66,6.63,4.11
4611,0.9,Premium,E,SI2,61.3,60,3662,6.17,6.23,3.8
4647,0.9,Very Good,G,SI1,63.1,59,3669,6.15,6.11,3.87
4662,0.91,Premium,H,SI1,62.2,60,3669,6.22,6.16,3.85
4696,1.01,Fair,H,VS1,67.1,59,3676,6.16,6.09,4.11
4734,0.3,Ideal,F,VS2,62.2,55,573,4.3,4.32,2.68
4893,0.72,Very Good,E,VVS2,62,58,3719,5.71,5.74,3.55
4919,0.7,Ideal,G,VVS2,61.6,57,3725,5.74,5.71,3.53
4968,0.91,Very Good,I,VS1,61.9,57,3734,6.19,6.24,3.85
4978,0.9,Good,E,SI2,63,58,3736,6.08,6.11,3.84
4983,1.03,Ideal,J,SI1,62.3,57,3738,6.48,6.43,4.02
5030,1.01,Very Good,J,SI1,62.9,56,3749,6.35,6.4,4.01
5110,0.72,Ideal,F,VS1,61.4,56,3759,5.75,5.79,3.54
5205,1,Good,J,SI1,63.8,59,3780,6.34,6.27,4.02
5215,0.9,Premium,F,SI2,62.7,58,3780,6.16,6.09,3.84
5250,1.01,Premium,H,SI2,60.7,58,3790,6.52,6.49,3.95
5366,0.91,Fair,H,SI1,64.7,56,3816,6.1,6.07,3.94
5392,0.3,Premium,G,SI1,62.9,59,574,4.28,4.24,2.68
5603,0.96,Ideal,G,SI2,62.1,57,3871,6.32,6.27,3.91
5676,0.8,Ideal,F,VS1,61.6,54,3884,5.99,5.95,3.68
5711,0.25,Very Good,F,VVS2,61,58,575,4.02,4.05,2.46
5783,0.9,Very Good,E,SI2,61.1,58,3902,6.12,6.26,3.78
5826,0.92,Premium,H,VS2,59.6,59,3916,6.32,6.29,3.76
5843,1,Premium,H,SI2,60.2,61,3920,6.48,6.44,3.89
5851,1,Very Good,H,SI2,63.4,61,3920,6.33,6.29,4
5926,0.92,Premium,E,SI2,62.1,58,3941,6.22,6.18,3.85
5989,0.8,Very Good,F,VS2,61.3,55,3954,5.93,6.01,3.66
6043,0.32,Premium,E,SI2,62.4,58,576,4.4,4.35,2.73
6214,0.9,Ideal,H,SI2,62.1,55,4001,6.17,6.2,3.84
6297,1.01,Premium,G,SI2,59.4,60,4022,6.55,6.58,3.9
6337,1,Ideal,J,VS1,62.3,56,4032,6.43,6.38,3.99
6371,0.32,Very Good,H,SI1,63.1,55,576,4.37,4.34,2.75
6507,1.01,Good,G,SI1,63.1,55,4064,6.31,6.33,3.99
6644,0.9,Ideal,E,SI2,62.7,54,4091,6.13,6.21,3.87
6653,0.9,Very Good,E,SI1,63.1,60,4092,6.18,6.14,3.89
6683,0.9,Ideal,H,SI2,61.8,56,4101,6.17,6.2,3.82
6725,0.27,Ideal,F,VS2,60.3,56,577,4.24,4.27,2.56
6752,1.01,Fair,G,SI1,66.9,56,4102,6.15,6.22,4.14
6793,0.7,Ideal,F,VVS2,61.2,56,4114,5.73,5.78,3.52
6921,0.91,Premium,E,SI1,60.5,61,4138,6.23,6.19,3.76
7094,1.01,Premium,H,SI2,61.6,59,4166,6.39,6.44,3.95
7122,0.6,Ideal,D,VVS1,62.5,55,4172,5.4,5.42,3.38
7164,0.93,Premium,F,SI1,61.1,59,4182,6.32,6.29,3.85
7165,0.9,Premium,G,VS2,60.9,58,4183,6.34,6.19,3.79
7178,1.01,Good,G,SI2,63.8,53,4185,6.41,6.31,4.06
7190,1.01,Very Good,F,SI2,62.4,58,4187,6.37,6.42,3.99
7209,0.9,Ideal,E,SI2,62.2,55,4191,6.19,6.22,3.86
7266,0.91,Ideal,I,VS2,61.9,56,4199,6.18,6.22,3.84
7271,1.04,Ideal,G,SI2,62,57,4200,6.53,6.6,4.07
7272,1.04,Very Good,G,SI2,60.9,58,4200,6.52,6.58,3.99
7444,0.9,Good,F,SI1,64.2,56,4232,6.02,6.1,3.89
7475,1,Premium,F,SI1,60.8,59,4234,6.45,6.41,3.91
7479,1.07,Very Good,I,SI1,60.7,61,4237,6.55,6.6,3.99
7490,1.02,Premium,F,SI2,59.9,59,4238,6.59,6.56,3.94
7540,1.01,Very Good,I,SI2,63.5,57,4244,6.35,6.37,4.04
7571,0.91,Very Good,D,SI1,59.3,58,4253,6.33,6.38,3.77
